تعديل,التاريخ,البحيرة,المنسوب  (م ),المساحة  (كم2 ),السعة التخزينية  (مليار م2 )
,2021-10-05 00:00:00.000,بحيرة منخفض توشكي 3,160,350,5.5
,2021-10-05 00:00:00.000,بحيرة منخفض توشكي 4,141,788,17.1
,2021-10-15 00:00:00.000,بحيرة منخفض توشكي 1,160,595,11.1
,2021-10-15 00:00:00.000,بحيرة منخفض توشكي 2,145,328,303
,2021-10-15 00:00:00.000,بحيرة منخفض توشكي 3,160,350,5.5
,2021-10-15 00:00:00.000,بحيرة منخفض توشكي 4,141,788,17.1
,2021-10-30 00:00:00.000,بحيرة منخفض توشكي 1,160,595,11.1
,2021-10-30 00:00:00.000,بحيرة منخفض توشكي 2,146,350,3.6
,2021-10-30 00:00:00.000,بحيرة منخفض توشكي 3,160,350,5.5
,2021-10-30 00:00:00.000,بحيرة منخفض توشكي 4,142,930,17.6
,2021-11-04 00:00:00.000,بحيرة منخفض توشكي 1,160,595,11.1
,2021-11-04 00:00:00.000,بحيرة منخفض توشكي 2,146,350,3.6
,2021-11-04 00:00:00.000,بحيرة منخفض توشكي 3,160,350,5.5
,2021-11-04 00:00:00.000,بحيرة منخفض توشكي 4,142,930,17.6
,2021-11-14 00:00:00.000,بحيرة منخفض توشكي 1,160,595,11.1
,2021-11-14 00:00:00.000,بحيرة منخفض توشكي 2,148,390,4.4
,2021-11-14 00:00:00.000,بحيرة منخفض توشكي 3,160,350,5.5
,2021-11-14 00:00:00.000,بحيرة منخفض توشكي 4,145,1016,20.5
,2021-11-19 00:00:00.000,بحيرة منخفض توشكي 1,160,595,11.1
,2021-11-19 00:00:00.000,بحيرة منخفض توشكي 2,149,412,4.9
,2021-11-19 00:00:00.000,بحيرة منخفض توشكي 3,160,350,5.5
,2021-11-19 00:00:00.000,بحيرة منخفض توشكي 4,146,1063,21.5
,2021-11-24 00:00:00.000,بحيرة منخفض توشكي 1,160,595,11.1
,2021-11-24 00:00:00.000,بحيرة منخفض توشكي 2,149,412,4.9
,2021-11-24 00:00:00.000,بحيرة منخفض توشكي 3,160,350,5.5
,2021-11-24 00:00:00.000,بحيرة منخفض توشكي 4,147,1093,22.7
,2021-11-29 00:00:00.000,بحيرة منخفض توشكي 1,160,595,11.1
,2021-11-29 00:00:00.000,بحيرة منخفض توشكي 2,150,430,5.3
